"id","bid_id","partner_id","loi","status","currency","response_date","created_at","updated_at","pmf","timeline","invoice_date","invoice_sent","invoice_serial","invoice_number","invoice_amount"
"40","17","26","10","draft","USD",2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z,"0","0",,,,,"0.00"
"41","17","25","10","draft","USD",2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z,"0","0",,,,,"0.00"
"42","17","21","10","draft","USD",2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z,"0","0",,,,,"0.00"
"43","17","22","10","draft","USD",2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z,"0","0",,,,,"0.00"
"44","17","20","10","draft","USD",2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z,2025-04-15T14:09:00.832Z,"0","0",,,,,"0.00"
"45","18","26","10","draft","USD",2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,"0","0",,,,,"0.00"
"46","18","25","10","draft","USD",2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,"0","0",,,,,"0.00"
"47","18","21","10","draft","USD",2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,"0","0",,,,,"0.00"
"48","18","22","10","draft","USD",2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,"0","0",,,,,"0.00"
"49","18","20","10","draft","USD",2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,2025-04-15T14:09:01.406Z,"0","0",,,,,"0.00"
"50","20","26","10","draft","USD",2025-04-15T14:09:02.183Z,2025-04-15T14:09:02.183Z,2025-04-15T14:15:59.336Z,"0","0",,,,,"0.00"
"51","20","25","10","draft","USD",2025-04-15T14:09:02.183Z,2025-04-15T14:09:02.183Z,2025-04-15T14:15:59.336Z,"500","0",,,,,"0.00"
"52","20","21","10","draft","USD",2025-04-15T14:09:02.183Z,2025-04-15T14:09:02.183Z,2025-04-15T14:15:59.336Z,"0","0",,,,,"0.00"
"53","20","22","10","draft","USD",2025-04-15T14:09:02.183Z,2025-04-15T14:09:02.183Z,2025-04-15T14:15:59.336Z,"1000","0",,,,,"0.00"
"54","20","20","10","draft","USD",2025-04-15T14:09:02.183Z,2025-04-15T14:09:02.183Z,2025-04-15T14:15:59.336Z,"750","0",,,,,"0.00"
"55","21","21","15","draft","USD",2025-04-15T14:22:51.567Z,2025-04-15T14:22:51.567Z,2025-04-22T10:59:28.562Z,"0","0",,,,,"0.00"
"56","21","30","15","draft","USD",2025-04-15T14:22:51.567Z,2025-04-15T14:22:51.567Z,2025-04-22T10:59:28.562Z,"0","0",,,,,"0.00"
